Number,Time_in,Time_out,Soc_in,Soc_out,Soc_now,EV_capacity,se_number
125,33,37,38.0,94.0,60.5,100,1
124,33,43,35.0,90.0,90.0,100,2
127,45,57,34.0,82.0,82.0,100,3
130,59,67,41.0,91.0,91.0,100,4
131,70,84,49.0,100.0,100.0,100,5
