Number,Time_in,Time_out,Soc_in,Soc_out,Soc_now,EV_capacity,se_number
121,15,23,16.0,97.0,97.0,100,19
22,16,28,36.0,90.0,53.85,100,1
122,16,32,35.0,83.0,83.0,100,20
24,22,34,39.0,72.0,57.9,100,2
28,32,38,15.0,96.0,22.35,100,4
27,27,39,41.0,54.0,54.0,100,3
123,26,44,34.0,97.0,97.0,100,19
126,40,52,33.0,88.0,88.0,100,20
30,51,67,16.0,41.0,39.1,100,5
129,59,73,28.000000000000004,85.0,85.0,100,20
128,58,74,11.0,86.0,86.0,100,19
34,63,75,27.0,70.0,43.8,100,7
33,61,81,59.0,97.0,87.35,100,6
