Number,Time_in,Time_out,Soc_in,Soc_out,Soc_now,EV_capacity,se_number
1,82,234,32.0,94.0,54.2,100,1
2,87,193,28.999999999999996,86.0,29.0,100,2
2,87,193,28.999999999999996,86.0,29.0,100,2
2,87,193,28.999999999999996,86.0,29.0,100,2
2,87,193,28.999999999999996,86.0,29.0,100,2
