Number,Time_in,Time_out,Soc_in,Soc_out,Soc_now,EV_capacity,se_number
23,17,23,49.0,72.0,55.3,100,2
21,12,26,37.0,75.0,58.0,100,1
26,24,30,65.0,98.0,72.35,100,4
25,24,32,25.0,69.0,34.45,100,3
29,41,55,52.0,72.0,68.8,100,5
31,52,64,63.0,96.0,80.85,100,6
32,59,69,38.0,98.0,49.55,100,7
39,75,79,34.0,54.0,37.15,100,10
36,71,83,31.0,69.0,47.8,100,8
